"statistikkvariabel"	"region"	"2019 0-9 år"	"2019 10-19 år"	"2019 20-29 år"	"2019 30-39 år"	"2019 40-49 år"	"2019 50-59 år"	"2019 60-69 år"	"2019 70-79 år"	"2019 80-89 år"	"2019 90-99 år"	"2019 100 år eller eldre"
"Personer"	"K-5024 Orkdal"	1387	1584	1369	1512	1483	1630	1516	1056	452	95	2
"Personer"	"K-5025 Røros"	504	618	660	589	661	778	832	630	269	68	1
"Personer"	"K-5026 Holtålen"	174	231	261	179	238	281	271	273	103	13	1
"Personer"	"K-5027 Midtre Gauldal"	728	684	772	785	796	893	673	571	276	68	0
"Personer"	"K-5028 Melhus"	2087	2233	2005	2080	2341	2106	1678	1349	561	121	1
"Personer"	"K-5029 Skaun"	1261	1082	952	1153	1185	987	793	539	223	54	2
"Personer"	"K-5030 Klæbu"	815	930	750	826	891	763	519	426	136	20	0
"Personer"	"K-5031 Malvik"	1908	1956	1514	1896	2184	1903	1322	927	353	75	2
"Personer"	"K-5032 Selbu"	412	509	452	448	523	556	521	404	203	59	1
"Personer"	"K-5033 Tydal"	72	75	92	76	68	134	113	93	61	10	0
"Personer"	"K-5034 Meråker"	239	270	248	261	297	358	351	262	107	39	0
"Personer"	"K-5035 Stjørdal"	2893	3244	2919	2822	3291	3146	2658	2055	805	186	9
"Personer"	"K-5036 Frosta"	287	342	297	284	313	358	321	272	128	30	0
"Personer"	"K-5037 Levanger"	2436	2607	2731	2437	2416	2668	2366	1682	757	151	3
"Personer"	"K-5038 Verdal"	1601	1935	1932	1697	1965	1926	1841	1403	499	132	2
"Personer"	"K-5039 Verran"	255	274	232	227	308	388	328	239	154	43	1
"Personer"	"K-5040 Namdalseid"	153	201	149	157	182	207	251	154	98	24	0
"Personer"	"K-5041 Snåase - Snåsa"	213	276	229	214	209	311	269	238	119	22	0
"Personer"	"K-5042 Lierne"	129	194	124	128	177	177	208	158	75	16	0
"Personer"	"K-5043 Raarvihke - Røyrvik"	45	59	47	52	54	56	74	63	19	13	0
"Personer"	"K-5044 Namsskogan"	80	106	87	72	102	131	113	105	64	11	0
"Personer"	"K-5045 Grong"	257	266	269	223	264	340	331	233	148	42	1
"Personer"	"K-5046 Høylandet"	131	195	110	119	160	143	163	142	75	15	1
"Personer"	"K-5047 Overhalla"	537	484	472	472	472	468	448	329	159	37	1
"Personer"	"K-5048 Fosnes"	53	53	55	57	58	101	91	89	37	11	0
"Personer"	"K-5049 Flatanger"	94	123	125	98	118	175	182	130	45	13	0
"Personer"	"K-5050 Vikna"	558	629	600	552	616	568	490	352	176	37	0
"Personer"	"K-5051 Nærøy"	603	570	637	599	585	741	589	485	213	49	1
"Personer"	"K-5052 Leka"	44	52	75	38	56	81	94	86	34	7	0
"Personer"	"K-5053 Inderøy"	781	933	742	743	781	937	901	651	263	72	0
"Personer"	"K-5054 Indre Fosen"	1056	1333	1025	977	1369	1337	1284	1064	437	101	5
"Personer"	"K-5061 Rindal"	218	257	232	210	239	266	240	220	116	29	1
"Personer"	"K-1804 Bodø"	5989	6233	7756	7094	6952	6828	5516	3754	1588	307	7
"Personer"	"K-1805 Narvik"	1975	2074	2589	2283	2137	2577	2373	1601	812	203	6
"Personer"	"K-1811 Bindal"	143	170	145	113	159	194	244	184	78	20	0
"Personer"	"K-1812 Sømna"	194	267	219	201	252	310	249	208	94	20	0
"Personer"	"K-1813 Brønnøy"	910	1008	951	929	1028	1145	927	647	308	62	1
"Personer"	"K-1815 Vega"	103	150	134	101	152	187	172	157	58	18	0
"Personer"	"K-1816 Vevelstad"	55	51	55	51	54	63	77	66	21	4	0
"Personer"	"K-1818 Herøy (Nordland)"	196	194	206	222	188	257	244	194	60	18	1
"Personer"	"K-1820 Alstahaug"	780	910	910	856	920	1032	965	718	268	56	0
"Personer"	"K-1822 Leirfjord"	336	249	258	304	244	313	311	188	85	29	3
"Personer"	"K-1824 Vefsn"	1386	1582	1667	1485	1671	1945	1611	1283	624	146	3
"Personer"	"K-1825 Grane"	141	196	151	145	175	209	194	176	81	25	0
"Personer"	"K-1826 Hattfjelldal"	118	169	141	108	175	197	169	178	83	21	0
"Personer"	"K-1827 Dønna"	126	177	150	122	172	192	219	162	54	17	0
"Personer"	"K-1828 Nesna"	181	242	225	187	241	257	204	157	74	21	3
"Personer"	"K-1832 Hemnes"	458	534	558	451	541	630	535	489	245	60	0
"Personer"	"K-1833 Rana"	2823	3121	3512	3035	3313	3749	3097	2326	1069	260	10
"Personer"	"K-1834 Lurøy"	215	199	213	201	221	263	247	224	105	16	0
"Personer"	"K-1835 Træna"	33	63	63	59	66	60	51	40	20	1	0
"Personer"	"K-1836 Rødøy"	140	179	145	102	151	151	171	130	56	13	0
"Personer"	"K-1837 Meløy"	702	783	745	664	774	873	792	603	306	84	5
"Personer"	"K-1838 Gildeskål"	185	220	186	221	241	266	296	226	107	29	1
"Personer"	"K-1839 Beiarn"	80	107	80	105	95	162	168	141	72	12	0
"Personer"	"K-1840 Saltdal"	485	535	485	492	561	657	678	512	204	47	1
"Personer"	"K-1841 Fauske - Fuosko"	941	1171	1200	1066	1253	1340	1296	1000	405	86	2
"Personer"	"K-1845 Sørfold"	193	239	192	183	249	264	279	253	96	24	3
"Personer"	"K-1848 Steigen"	224	278	286	262	315	345	392	319	118	36	1
"Personer"	"K-1849 Hamarøy - Hábmer"	138	195	198	190	156	263	273	220	85	29	0
"Personer"	"K-1850 Divtasvuodna - Tysfjord"	161	203	192	193	244	289	291	246	86	20	0
"Personer"	"K-1851 Lødingen"	164	229	193	164	253	316	327	276	120	35	0
"Personer"	"K-1852 Tjeldsund"	106	130	120	112	142	184	192	169	75	29	0
"Personer"	"K-1853 Evenes"	117	163	137	132	165	179	213	186	74	19	2
"Personer"	"K-1854 Ballangen"	213	324	255	226	268	370	376	281	124	30	3
"Personer"	"K-1856 Røst"	36	59	52	48	71	84	78	42	32	6	0
"Personer"	"K-1857 Værøy"	64	78	83	86	109	101	87	80	35	9	0
"Personer"	"K-1859 Flakstad"	101	147	160	114	146	213	172	130	92	17	0
"Personer"	"K-1860 Vestvågøy"	1339	1475	1485	1357	1356	1526	1377	986	475	103	1
"Personer"	"K-1865 Vågan"	1028	1191	1129	1222	1274	1242	1224	864	338	82	1
"Personer"	"K-1866 Hadsel"	866	922	998	877	975	1133	1046	844	340	90	0
"Personer"	"K-1867 Bø (Nordland)"	207	280	258	209	303	401	387	331	195	41	4
"Personer"	"K-1868 Øksnes"	431	516	550	473	609	666	549	403	209	41	2
"Personer"	"K-1870 Sortland - Suortá"	1205	1371	1401	1253	1346	1397	1233	870	333	107	2
"Personer"	"K-1871 Andøy"	426	547	590	458	535	703	633	557	248	71	3
"Personer"	"K-1874 Moskenes"	71	95	115	123	157	139	133	113	78	15	0
"Personer"	"K-1902 Tromsø"	8773	8869	12798	11441	10649	9719	7488	4800	1732	368	12
"Personer"	"K-1903 Harstad - Hárstták"	2729	2898	3288	2978	3245	3236	3045	2239	963	204	2
"Personer"	"K-1911 Kvæfjord"	259	356	338	280	369	390	408	300	132	26	0
"Personer"	"K-1913 Skånland"	281	347	289	318	378	415	447	363	137	33	1
"Personer"	"K-1917 Ibestad"	100	157	131	113	138	206	207	196	104	23	0
"Personer"	"K-1919 Gratangen"	88	140	113	94	133	174	148	125	72	17	1
"Personer"	"K-1920 Loabák - Lavangen"	111	140	102	90	129	140	125	126	59	19	1
"Personer"	"K-1922 Bardu"	448	475	723	449	497	424	451	379	143	40	1
"Personer"	"K-1923 Salangen"	179	314	285	174	287	308	275	258	87	16	0
"Personer"	"K-1924 Målselv"	707	795	1158	713	832	854	810	562	307	66	1
"Personer"	"K-1925 Sørreisa"	368	469	426	369	463	479	427	320	145	23	0
"Personer"	"K-1926 Dyrøy"	96	121	123	88	139	160	182	146	61	12	1
"Personer"	"K-1927 Tranøy"	148	177	151	143	176	193	219	193	91	22	0
"Personer"	"K-1928 Torsken"	78	111	102	92	105	144	115	111	61	12	0
"Personer"	"K-1929 Berg"	95	85	100	112	91	130	114	102	48	10	1
"Personer"	"K-1931 Lenvik"	1291	1631	1447	1298	1497	1584	1414	1003	422	89	3
"Personer"	"K-1933 Balsfjord"	521	651	650	566	735	815	688	637	306	55	1
"Personer"	"K-1936 Karlsøy"	182	196	247	230	253	347	351	289	133	22	2
"Personer"	"K-1938 Lyngen"	230	353	299	251	377	368	404	362	167	36	0
"Personer"	"K-1939 Storfjord - Omasvuotna - Omasvuono"	156	231	195	167	239	248	318	201	72	14	0
"Personer"	"K-1940 Gáivuotna - Kåfjord - Kaivuono"	180	215	236	227	234	295	305	258	126	21	0
"Personer"	"K-1941 Skjervøy"	302	336	416	337	380	362	316	325	121	21	1
"Personer"	"K-1942 Nordreisa - Ráisa - Raisi"	525	631	639	496	642	648	617	475	192	42	2
"Personer"	"K-1943 Kvænangen"	101	129	131	116	137	188	156	155	83	6	0
"Personer"	"K-2002 Vardø"	164	186	279	235	269	307	321	218	87	15	0
"Personer"	"K-2003 Vadsø"	553	808	812	597	788	884	653	540	237	21	1
"Personer"	"K-2004 Hammerfest"	1275	1252	1615	1405	1433	1424	1010	761	294	67	0
"Personer"	"K-2011 Guovdageaidnu - Kautokeino"	348	349	366	371	404	393	354	226	102	11	0
"Personer"	"K-2012 Alta"	2611	2846	3246	2565	2801	2619	2015	1322	561	79	0
"Personer"	"K-2014 Loppa"	68	74	109	83	123	131	126	136	54	13	0
"Personer"	"K-2015 Hasvik"	110	93	130	141	141	146	127	99	45	12	1
"Personer"	"K-2017 Kvalsund"	83	97	100	75	117	143	172	149	46	6	0
"Personer"	"K-2018 Måsøy"	89	116	141	148	155	183	177	141	72	13	0
"Personer"	"K-2019 Nordkapp"	268	369	419	356	418	502	439	301	124	22	0
"Personer"	"K-2020 Porsanger - Porsángu - Porsanki"	358	438	489	393	489	617	582	399	146	32	1
"Personer"	"K-2021 Kárásjohka - Karasjok"	234	340	397	272	333	416	353	205	104	19	0
"Personer"	"K-2022 Lebesby"	120	147	149	150	177	199	181	124	71	10	0
"Personer"	"K-2023 Gamvik"	98	87	156	161	178	170	149	121	41	8	0
"Personer"	"K-2024 Berlevåg"	64	99	123	113	128	143	143	107	48	13	0
"Personer"	"K-2025 Deatnu - Tana"	247	333	342	304	426	394	422	296	118	18	0
"Personer"	"K-2027 Unjárga - Nesseby"	88	84	113	117	110	114	142	111	54	8	0
"Personer"	"K-2028 Båtsfjord"	213	260	338	304	307	336	257	175	68	12	0
"Personer"	"K-2030 Sør-Varanger"	979	1241	1509	1193	1407	1437	1156	810	348	75	1
